jday,Hday,Hphosyn,Δbiomax,γreg,Δbioactual,bioactual
245,11.1000,4.6852,182.7209,0.9716,177.5314,19553.5336
246,17.5000,7.1498,278.8430,0.6877,191.7690,19745.3026
247,20.4000,8.1503,317.8612,0.7302,232.0973,19977.4000
248,16.5000,6.3909,249.2454,0.3340,83.2604,20060.6604
249,19.8000,7.5037,292.6458,0.3340,97.7583,20158.4186
250,16.1000,5.9332,231.3934,0.1122,25.9649,20184.3835
251,19.1000,6.8217,266.0476,0.2932,78.0075,20262.3910
252,16.7000,5.7542,224.4146,0.8134,182.5294,20444.9204
253,19.6000,6.4278,250.6836,0.0100,2.5068,20447.4272
254,11.9000,3.8073,148.4837,0.0100,1.4848,20448.9121
255,17.8000,5.4546,212.7279,0.9699,206.3253,20655.2374
256,3.0000,0.8196,31.9650,0.9752,31.1714,20686.4088
257,4.1000,0.9372,36.5525,0.5735,20.9635,20707.3723
258,8.2000,1.6783,65.4521,0.0100,0.6545,20708.0268
259,8.6000,1.7477,68.1608,0.0100,0.6816,20708.7084
260,16.5000,3.1667,123.5008,0.0100,1.2350,20709.9434
261,10.2000,1.7219,67.1555,0.0472,3.1673,20713.1107
262,7.7000,1.1042,43.0637,0.0100,0.4306,20713.5414
263,1.6000,0.2063,8.0445,0.1852,1.4897,20715.0311
264,3.4000,0.3753,14.6365,0.1596,2.3364,20717.3675
265,7.5000,0.6869,26.7872,0.7727,20.6987,20738.0662
266,17.1000,0.8695,33.9115,0.0100,0.3391,20738.4053
267,17.2000,0.4821,18.8009,0.0100,0.1880,20738.5933
268,2.7000,0.0000,0.0000,0.0100,0.0000,20738.5933
269,9.9000,0.0000,0.0000,0.0100,0.0000,20738.5933
270,10.4000,0.0000,0.0000,0.0100,0.0000,20738.5933
271,7.8000,0.0000,0.0000,0.0100,0.0000,20738.5933
272,10.2000,0.0000,0.0000,0.0100,0.0000,20738.5933
273,19.5000,0.0000,0.0000,0.0100,0.0000,20738.5933
274,12.5000,0.0000,0.0000,0.0100,0.0000,20738.5933
275,16.7000,0.0000,0.0000,0.0100,0.0000,20738.5933
276,15.4000,0.0000,0.0000,0.0100,0.0000,20738.5933
277,15.8000,0.0000,0.0000,0.0100,0.0000,20738.5933
278,15.8000,0.0000,0.0000,0.0100,0.0000,20738.5933
279,14.0000,0.0000,0.0000,0.8507,0.0000,20738.5933
280,14.7000,0.0000,0.0000,0.9663,0.0000,20738.5933
281,5.5000,0.0000,0.0000,0.0100,0.0000,20738.5933
282,12.0000,0.0000,0.0000,0.0100,0.0000,20738.5933
283,15.5000,0.0000,0.0000,0.0100,0.0000,20738.5933
284,15.2000,0.0000,0.0000,0.0100,0.0000,20738.5933
285,15.1000,0.0000,0.0000,0.0100,0.0000,20738.5933
286,14.8000,0.0000,0.0000,0.0100,0.0000,20738.5933
287,10.2000,0.0000,0.0000,0.0100,0.0000,20738.5933
288,3.0000,0.0000,0.0000,0.0100,0.0000,20738.5933
289,5.4000,0.0000,0.0000,0.1983,0.0000,20738.5933
290,6.2000,0.0000,0.0000,0.0100,0.0000,20738.5933
291,11.3000,0.0000,0.0000,0.0100,0.0000,20738.5933
292,10.0000,0.0000,0.0000,0.0100,0.0000,20738.5933
293,2.5000,0.0000,0.0000,0.0100,0.0000,20738.5933
294,13.3000,0.0000,0.0000,0.0100,0.0000,20738.5933
295,13.2000,0.0000,0.0000,0.0100,0.0000,20738.5933
296,12.7000,0.0000,0.0000,0.0100,0.0000,20738.5933
297,12.2000,0.0000,0.0000,0.0187,0.0000,20738.5933
298,12.1000,0.0000,0.0000,0.0100,0.0000,20738.5933
299,3.9000,0.0000,0.0000,0.0100,0.0000,20738.5933
300,3.7000,0.0000,0.0000,0.0100,0.0000,20738.5933
301,7.2000,0.0000,0.0000,0.0100,0.0000,20738.5933
302,4.1000,0.0000,0.0000,0.0100,0.0000,20738.5933
303,7.8000,0.0000,0.0000,0.0100,0.0000,20738.5933
304,7.6000,0.0000,0.0000,0.0100,0.0000,20738.5933
305,11.5000,0.0000,0.0000,0.0100,0.0000,20738.5933
306,3.7000,0.0000,0.0000,0.0100,0.0000,20738.5933
307,8.9000,0.0000,0.0000,0.0100,0.0000,20738.5933
308,5.1000,0.0000,0.0000,0.0100,0.0000,20738.5933
309,1.6000,0.0000,0.0000,0.0100,0.0000,20738.5933
310,5.4000,0.0000,0.0000,0.0100,0.0000,20738.5933
311,8.6000,0.0000,0.0000,0.0100,0.0000,20738.5933
312,8.1000,0.0000,0.0000,0.0100,0.0000,20738.5933
313,10.1000,0.0000,0.0000,0.0100,0.0000,20738.5933
314,8.0000,0.0000,0.0000,0.0100,0.0000,20738.5933
315,9.6000,0.0000,0.0000,0.0100,0.0000,20738.5933
316,5.1000,0.0000,0.0000,0.0100,0.0000,20738.5933
317,2.8000,0.0000,0.0000,0.0100,0.0000,20738.5933
318,1.4000,0.0000,0.0000,0.0100,0.0000,20738.5933
319,2.3000,0.0000,0.0000,0.0100,0.0000,20738.5933
